City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,91,PF,1619822594,78,-23.1203,-134.9692,78.78,20.4
1,Takapau,76,NZ,1619822594,75,-40.0333,176.35,55.99,8.03
2,Stonewall,90,CA,1619822595,70,50.1344,-97.3268,45.0,20.71
3,Narsaq,8,GL,1619822595,30,60.9167,-46.05,51.8,27.63
4,Busselton,99,AU,1619822595,98,-33.65,115.3333,51.01,5.44
5,Hofn,100,IS,1619822596,75,64.2539,-15.2082,36.09,10.58
6,Leeuwarden,90,NL,1619822596,93,53.2014,5.8086,46.0,1.14
7,Upernavik,100,GL,1619822596,80,72.7868,-56.1549,28.98,5.1
8,Katsuura,20,JP,1619822597,77,35.1333,140.3,62.6,5.75
9,San Miguel de Tucumán,40,AR,1619822414,73,-26.8241,-65.2226,68.0,6.91
10,Butaritari,74,KI,1619822597,74,3.0707,172.7902,83.46,11.99
11,Lebu,100,CL,1619822598,90,-37.6167,-73.65,56.41,22.79
12,Alenquer,75,BR,1619822598,100,-1.9417,-54.7383,73.4,2.3
13,New Norfolk,75,AU,1619822598,81,-42.7826,147.0587,53.01,10.36
14,Buluang,12,PH,1619822599,77,13.3068,123.3425,77.95,2.13
15,Ilulissat,71,GL,1619822599,65,69.2167,-51.1,37.4,3.44
16,Belyy Yar,0,RU,1619822599,80,53.6039,91.3903,35.6,2.24
17,Kangaatsiaq,73,GL,1619822599,77,68.3065,-53.4641,32.94,8.48
18,Kaitangata,72,NZ,1619822600,69,-46.2817,169.8464,52.0,3.0
19,Yuxia,0,CN,1619822600,54,34.0615,108.6291,57.2,4.47
20,Hilo,20,US,1619822593,54,19.7297,-155.09,84.2,11.5
21,Conway,1,US,1619822552,41,35.0887,-92.4421,78.01,5.75
22,Abu Samrah,0,SY,1619822601,32,35.3029,37.1841,68.4,6.06
23,Srednekolymsk,9,RU,1619822601,79,67.45,153.6833,23.77,10.76
24,Atuona,1,PF,1619822601,68,-9.8,-139.0333,79.25,4.05
25,Ribeira Grande,98,PT,1619822601,76,38.5167,-28.7,60.19,9.13
26,Vaini,75,TO,1619822602,89,-21.2,-175.2,78.8,12.66
27,Igarapava,0,BR,1619822602,69,-20.0383,-47.7469,75.2,6.91
28,Robinsonville,90,US,1619822602,78,31.4677,-97.1147,75.0,10.36
